"words","sentiment","n"
"unprepared","negative",3
"unproven","negative",1
"unrest","negative",2
"unrestricted","positive",1
"unsafe","negative",2
"untested","negative",2
"unthinkable","negative",1
"untouched","negative",3
"unusual","negative",2
"unusually","negative",1
"unwanted","negative",1
"unwarranted","negative",1
"unwavering","positive",1
"urgent","negative",24
"useless","negative",1
"vague","negative",1
"vain","negative",1
"valor","positive",1
"valuable","positive",6
"vengeance","negative",2
"vent","negative",1
"vibrant","positive",1
"vice","negative",1
"vicious","negative",3
"victorious","positive",4
"victory","positive",5
"vigilant","positive",1
"violate","negative",1
"violation","negative",6
"violators","negative",8
"violent","negative",2
"violently","negative",1
"virtue","positive",2
"virulence","negative",2
"virulent","negative",4
"virus","negative",741
"visionary","positive",2
"vulnerable","negative",31
"warm","positive",3
"warned","negative",3
"warning","negative",10
"waste","negative",21
"wasted","negative",3
"wasteful","negative",1
"wasting","negative",2
"weak","negative",5
"weaken","negative",1
"weaker","negative",3
"wealthy","positive",1
"weed","negative",2
"wellbeing","positive",3
"whine","negative",1
"wild","negative",3
"wildly","negative",1
"willingly","positive",5
"win","positive",102
"winner","positive",5
"winners","positive",1
"winning","positive",3
"wins","positive",7
"wisdom","positive",3
"wise","positive",87
"wisely","positive",4
"woefully","negative",1
"won","positive",16
"wonderful","positive",6
"wonders","positive",2
"workable","positive",1
"worried","negative",18
"worrisome","negative",3
"worry","negative",16
"worrying","negative",4
"worryingly","negative",14
"worse","negative",33
"worsen","negative",2
"worsening","negative",2
"worst","negative",50
"worth","positive",30
"worthy","positive",2
"wow","positive",10
"wrath","negative",1
"wrinkles","negative",1
"wrong","negative",31
"wrongly","negative",1
"zap","negative",1
"zeal","positive",1
